X;run_number;resolution_speed;coop_success;mean_after_bounce;bounce_back;mean_coop;std_coop;benefit;set_std;cost;synergy;trait_mut;set_mut;dir_exp;baseline;set_mean;total_sets;population;K_M_ratio;b_c_ratio
278;278;1400;0,0000;0,01500000000000000;0,01500000000000000;0,1705000000000000;0,1433793275857690;0,1;1;10;1;0;0,2;0,0;10;40;100;200;0,4000000000000000;0,01
281;281;2900;1,0000;0,98299999999999998;0,01700000000000000;0,7398749999999999;0,2211087663084880;0,1;1;10;1;0;0,2;0,0;10;40;150;200;0,2666666666666667;0,01
284;284;NA;0,3705;NA;0,00000000000000000;0,4297058823529410;0,0870885283186361;0,1;1;10;1;0;0,2;0,0;10;40;250;200;0,1600000000000000;0,01
287;287;4200;1,0000;0,98624999999999996;0,01375000000000000;0,6981372549019610;0,2519463450505160;0,1;1;10;1;0;0,2;0,0;10;40;450;200;0,0888888888888889;0,01
290;290;600;0,0000;0,00700000000000000;0,00700000000000000;0,1233333333333330;0,1675130026613040;0,1;1;10;1;0;0,2;0,5;10;5;100;200;0,0500000000000000;0,01
293;293;500;0,0000;0,01300000000000000;0,01300000000000000;0,1336363636363640;0,1724832007630150;0,1;1;10;1;0;0,2;0,5;10;5;150;200;0,0333333333333333;0,01
296;296;600;0,0000;0,00750000000000000;0,00750000000000000;0,1650000000000000;0,1869826195131520;0,1;1;10;1;0;0,2;0,5;10;5;250;200;0,0200000000000000;0,01
299;299;500;0,0000;0,01625000000000000;0,01625000000000000;0,1290000000000000;0,1514155430154600;0,1;1;10;1;0;0,2;0,5;10;5;450;200;0,0111111111111111;0,01
302;302;700;0,0000;0,01800000000000000;0,01800000000000000;0,1234615384615380;0,1519372761946060;0,1;1;10;1;0;0,2;0,5;10;10;100;200;0,1000000000000000;0,01
305;305;500;0,0000;0,01555555555555560;0,01555555555555560;0,0963333333333333;0,1396739400310940;0,1;1;10;1;0;0,2;0,5;10;10;150;200;0,0666666666666667;0,01
308;308;600;0,0000;0,01500000000000000;0,01500000000000000;0,1441666666666670;0,1734520281247990;0,1;1;10;1;0;0,2;0,5;10;10;250;200;0,0400000000000000;0,01
311;311;600;0,0000;0,00500000000000000;0,00500000000000000;0,1107692307692310;0,1490364350565290;0,1;1;10;1;0;0,2;0,5;10;10;450;200;0,0222222222222222;0,01
314;314;1500;0,0000;0,01000000000000000;0,01000000000000000;0,1877500000000000;0,1638715398687260;0,1;1;10;1;0;0,2;0,5;10;15;100;200;0,1500000000000000;0,01
317;317;1000;0,0000;0,01285714285714290;0,01285714285714290;0,1738888888888890;0,2000114375814510;0,1;1;10;1;0;0,2;0,5;10;15;150;200;0,1000000000000000;0,01
320;320;900;0,0000;0,01000000000000000;0,01000000000000000;0,1540000000000000;0,1626038129934230;0,1;1;10;1;0;0,2;0,5;10;15;250;200;0,0600000000000000;0,01
323;323;800;0,0000;0,01100000000000000;0,01100000000000000;0,1682142857142860;0,1807208551123180;0,1;1;10;1;0;0,2;0,5;10;15;450;200;0,0333333333333333;0,01
326;326;3300;0,0000;0,00750000000000000;0,00750000000000000;0,2825000000000000;0,1744905712623450;0,1;1;10;1;0;0,2;0,5;10;25;100;200;0,2500000000000000;0,01
329;329;1900;0,0000;0,01083333333333330;0,01083333333333330;0,1661538461538460;0,1329233440168260;0,1;1;10;1;0;0,2;0,5;10;25;150;200;0,1666666666666667;0,01
332;332;NA;0,6545;NA;0,00000000000000000;0,5313725490196080;0,1253917000098990;0,1;1;10;1;0;0,2;0,5;10;25;250;200;0,1000000000000000;0,01
335;335;800;0,0000;0,00666666666666667;0,00666666666666667;0,1412500000000000;0,1476809367891100;0,1;1;10;1;0;0,2;0,5;10;25;450;200;0,0555555555555556;0,01
338;338;2800;0,0000;0,01450000000000000;0,01450000000000000;0,1657692307692310;0,1293686005869030;0,1;1;10;1;0;0,2;0,5;10;30;100;200;0,3000000000000000;0,01
341;341;NA;0,5700;NA;0,00000000000000000;0,4203921568627450;0,1582208682104070;0,1;1;10;1;0;0,2;0,5;10;30;150;200;0,2000000000000000;0,01
344;344;NA;0,7465;NA;0,00000000000000000;0,4933333333333330;0,2059336462714790;0,1;1;10;1;0;0,2;0,5;10;30;250;200;0,1200000000000000;0,01
347;347;1100;0,0000;0,01000000000000000;0,01000000000000000;0,1472222222222220;0,1406938919847980;0,1;1;10;1;0;0,2;0,5;10;30;450;200;0,0666666666666667;0,01
350;350;NA;0,2255;NA;0,00000000000000000;0,4157843137254900;0,1310510303241440;0,1;1;10;1;0;0,2;0,5;10;40;100;200;0,4000000000000000;0,01
353;353;2600;0,0000;0,00916666666666667;0,00916666666666667;0,2343939393939390;0,1742697154187190;0,1;1;10;1;0;0,2;0,5;10;40;150;200;0,2666666666666667;0,01
356;356;4300;1,0000;0,97142857142857097;0,02857142857142860;0,7201960784313730;0,2134056250062630;0,1;1;10;1;0;0,2;0,5;10;40;250;200;0,1600000000000000;0,01
359;359;1500;1,0000;0,96047619047619004;0,03952380952380950;0,8486486486486490;0,1747365026127780;0,1;1;10;1;0;0,2;0,5;10;40;450;200;0,0888888888888889;0,01
362;362;600;0,0000;0,01833333333333330;0,01833333333333330;0,1150000000000000;0,1606652835348490;0,1;1;10;1;0;0,2;1,0;10;5;100;200;0,0500000000000000;0,01
365;365;500;0,0000;0,01900000000000000;0,01900000000000000;0,0850000000000000;0,1230040649734800;0,1;1;10;1;0;0,2;1,0;10;5;150;200;0,0333333333333333;0,01
368;368;600;0,0000;0,01500000000000000;0,01500000000000000;0,1225000000000000;0,1623618293699710;0,1;1;10;1;0;0,2;1,0;10;5;250;200;0,0200000000000000;0,01
371;371;600;0,0000;0,01200000000000000;0,01200000000000000;0,1050000000000000;0,1451175072453040;0,1;1;10;1;0;0,2;1,0;10;5;450;200;0,0111111111111111;0,01
374;374;800;0,0000;0,00687500000000000;0,00687500000000000;0,1488235294117650;0,1778827687320070;0,1;1;10;1;0;0,2;1,0;10;10;100;200;0,1000000000000000;0,01
377;377;800;0,0000;0,00714285714285714;0,00714285714285714;0,1253125000000000;0,1670176512627730;0,1;1;10;1;0;0,2;1,0;10;10;150;200;0,0666666666666667;0,01
380;380;500;0,0000;0,01111111111111110;0,01111111111111110;0,0866666666666667;0,1352598909331150;0,1;1;10;1;0;0,2;1,0;10;10;250;200;0,0400000000000000;0,01
383;383;600;0,0000;0,00500000000000000;0,00500000000000000;0,1685000000000000;0,1747386938005180;0,1;1;10;1;0;0,2;1,0;10;10;450;200;0,0222222222222222;0,01
386;386;2100;0,0000;0,00812500000000000;0,00812500000000000;0,2280000000000000;0,2043349177715100;0,1;1;10;1;0;0,2;1,0;10;15;100;200;0,1500000000000000;0,01
389;389;900;0,0000;0,01500000000000000;0,01500000000000000;0,1653333333333330;0,1765590417908280;0,1;1;10;1;0;0,2;1,0;10;15;150;200;0,1000000000000000;0,01
392;392;900;0,0000;0,01250000000000000;0,01250000000000000;0,1196428571428570;0,1390968711382090;0,1;1;10;1;0;0,2;1,0;10;15;250;200;0,0600000000000000;0,01
395;395;600;0,0000;0,01250000000000000;0,01250000000000000;0,1476923076923080;0,1822614352221300;0,1;1;10;1;0;0,2;1,0;10;15;450;200;0,0333333333333333;0,01
398;398;3700;0,0000;0,00884615384615385;0,00884615384615385;0,2180392156862750;0,1804829034323540;0,1;1;10;1;0;0,2;1,0;10;25;100;200;0,2500000000000000;0,01
401;401;1400;0,0000;0,01333333333333330;0,01333333333333330;0,1439583333333330;0,1482798409490790;0,1;1;10;1;0;0,2;1,0;10;25;150;200;0,1666666666666667;0,01
